module_category	original_path	new_path	file_type	action	reason
qc	/data03/karama/projects/soybean_analysis/wild/ld_analysis/plot_ld_decay.py		.py	copy	reusable script
ld_analysis	/data03/karama/projects/soybean_analysis/wild/ld_analysis/clean_summary.py		.py	copy	reusable script
ld_analysis	/data03/karama/projects/soybean_analysis/wild/ld_analysis/compute_ld_summary_final.py		.py	copy	reusable script
qc	/data03/karama/projects/soybean_analysis/wild/ld_analysis/plot_ld_decay_final.py		.py	copy	reusable script
ld_analysis	/data03/karama/projects/soybean_analysis/wild/ld_analysis/compute_block_summary.py		.py	copy	reusable script
ld_analysis	/data03/karama/projects/soybean_analysis/wild/ld_analysis/plot_haplotype_blocks.py		.py	copy	reusable script
association	/data03/karama/projects/soybean_analysis/wild/reports/create_final_summary.py		.py	copy	reusable script
association	/data03/karama/projects/soybean_analysis/wild/reports/final_summary.txt		.txt	skip	data file
association	/data03/karama/projects/soybean_analysis/wild/reports/wild_gwas_report.md		.md	copy	reusable script
qc	/data03/karama/projects/soybean_analysis/wild/reports/next_steps_todo.md		.md	copy	reusable script
qc	/data03/karama/projects/soybean_analysis/wild/reports/LD_status.md		.md	copy	reusable script
transforms	/data03/karama/projects/soybean_analysis/cultivated/post_gwas/sig_summary.txt		.txt	skip	data file
qc	/data03/karama/projects/soybean_analysis/cultivated/ld_analysis/run_ld_decay_full.sh		.sh	copy	reusable script
qc	/data03/karama/projects/soybean_analysis/cultivated/ld_analysis/test_chr1.sh		.sh	archive_duplicate	debug/temporary version
ld_analysis	/data03/karama/projects/soybean_analysis/cultivated/ld_analysis/compute_ld_summary_final.py		.py	copy	reusable script
qc	/data03/karama/projects/soybean_analysis/cultivated/ld_analysis/plot_ld_decay_final.py		.py	copy	reusable script
qc	/data03/karama/projects/soybean_analysis/cultivated/ld_analysis/run_haplotype_blocks.sh		.sh	copy	reusable script
ld_analysis	/data03/karama/projects/soybean_analysis/cultivated/ld_analysis/compute_block_summary.py		.py	copy	reusable script
ld_analysis	/data03/karama/projects/soybean_analysis/cultivated/ld_analysis/plot_haplotype_blocks.py		.py	copy	reusable script
qc	/data03/karama/projects/soybean_analysis/cultivated/reports/plot_cultivated_manhattan.py		.py	copy	reusable script
association	/data03/karama/projects/soybean_analysis/cultivated/reports/generate_cultivated_report.py		.py	copy	reusable script
qc	/data03/karama/projects/soybean_analysis/cultivated/reports/cultivated_gwas_report.md		.md	copy	reusable script
qc	/data03/karama/projects/soybean_analysis/cultivated/fine_mapping/log_ratio_17_37608516/fine_mapping.py		.py	copy	reusable script
qc	/data03/karama/projects/soybean_analysis/cultivated/fine_mapping/log_ratio_17_37608516/fine_mapping_v2.py		.py	archive_duplicate	debug/temporary version
unknown	/data03/karama/projects/soybean_analysis/cultivated/fine_mapping/log_ratio_17_37608516/snp_list.txt		.txt	skip	data file (numeric table)
association	/data03/karama/projects/soybean_analysis/cultivated/fine_mapping/log_ratio_17_37608516/create_panel.py		.py	copy	reusable script
qc	/data03/karama/projects/soybean_analysis/cultivated/fine_mapping/log_ratio_17_37608516/haplotype_effect.py		.py	copy	reusable script
association	/data03/karama/projects/soybean_analysis/comparison/compare_gwas.py		.py	copy	reusable script
association	/data03/karama/projects/soybean_analysis/comparison/comparison_count.py		.py	copy	reusable script
association	/data03/karama/projects/soybean_analysis/comparison/trait-specific_locus_count.py		.py	archive_project_specific	soybean-specific example
transforms	/data03/karama/projects/soybean_analysis/comparison/LD_comparison.py		.py	copy	reusable script
transforms	/data03/karama/projects/soybean_analysis/comparison/check_haplotype.py		.py	copy	reusable script
association	/data03/karama/projects/soybean_analysis/comparison/calculate_significant_snps.py		.py	copy	reusable script
association	/data03/karama/projects/soybean_analysis/comparison/sig_all_traits.py		.py	copy	reusable script
association	/data03/karama/projects/soybean_analysis/comparison/share_locu.py		.py	copy	reusable script
locus_merging	/data03/karama/projects/soybean_analysis/comparison/locus_compare.py		.py	copy	reusable script
association	/data03/karama/workflows/gwas_post_analysis_workflow.md		.md	copy	reusable script
qc	/data03/karama/workflows/config_analysis_template.yaml		.yaml	archive_duplicate	debug/temporary version
association	/data03/karama/workflows/run_pipeline.py		.py	copy	reusable script
qc	/data03/karama/workflows/README.md		.md	copy	reusable script
qc	/data03/karama/workflows/test_wild_config.yaml		.yaml	archive_duplicate	debug/temporary version
qc	/data03/karama/workflows/cultivated_config.yaml		.yaml	copy	reusable script
qc	/data03/karama/workflows/cultivated_config_logratio.yaml		.yaml	copy	reusable script
